device: cuda  phi: t2_hybrid_tau05_fixed
steps=6000  batch=256  lr=0.0003  lr_min=0.0003  tau=0.05  lam_id=0.4  lam_orth=0.1  eval_every=100  warm_start=True  ortho_mode=corr  queue_n=0  hybrid=True
  warm-started D from train image-space probe
  loaded frozen CLIP text axes (text->image bridge will train)
  ortho_reg: correlation-aware (I2)
step  4000 | lr 3.00e-04 | loss 5.671 (nce 5.505 id 0.412 orth 0.010 gate -0.005) | R@1 0.088 R@5 0.238 R@10 0.352
step  4100 | lr 3.00e-04 | loss 5.637 (nce 5.476 id 0.400 orth 0.009 gate -0.004) | R@1 0.089 R@5 0.245 R@10 0.359
step  4200 | lr 3.00e-04 | loss 5.714 (nce 5.542 id 0.427 orth 0.009 gate -0.005) | R@1 0.078 R@5 0.232 R@10 0.348
step  4300 | lr 3.00e-04 | loss 5.523 (nce 5.350 id 0.429 orth 0.009 gate -0.007) | R@1 0.077 R@5 0.232 R@10 0.341
step  4400 | lr 3.00e-04 | loss 5.609 (nce 5.429 id 0.449 orth 0.010 gate -0.008) | R@1 0.087 R@5 0.238 R@10 0.341
step  4500 | lr 3.00e-04 | loss 5.576 (nce 5.411 id 0.412 orth 0.009 gate -0.004) | R@1 0.081 R@5 0.228 R@10 0.338
step  4600 | lr 3.00e-04 | loss 5.688 (nce 5.526 id 0.403 orth 0.009 gate -0.006) | R@1 0.084 R@5 0.234 R@10 0.339
step  4700 | lr 3.00e-04 | loss 5.417 (nce 5.238 id 0.447 orth 0.009 gate -0.005) | R@1 0.086 R@5 0.244 R@10 0.350
step  4800 | lr 3.00e-04 | loss 5.571 (nce 5.397 id 0.431 orth 0.009 gate -0.004) | R@1 0.081 R@5 0.240 R@10 0.353
step  4900 | lr 3.00e-04 | loss 5.630 (nce 5.461 id 0.421 orth 0.009 gate -0.006) | R@1 0.086 R@5 0.241 R@10 0.351
step  5000 | lr 3.00e-04 | loss 5.720 (nce 5.561 id 0.396 orth 0.009 gate -0.004) | R@1 0.080 R@5 0.233 R@10 0.345
step  5100 | lr 3.00e-04 | loss 5.670 (nce 5.511 id 0.395 orth 0.009 gate -0.004) | R@1 0.079 R@5 0.242 R@10 0.348
step  5200 | lr 3.00e-04 | loss 5.572 (nce 5.403 id 0.422 orth 0.009 gate -0.006) | R@1 0.080 R@5 0.240 R@10 0.361
step  5300 | lr 3.00e-04 | loss 5.500 (nce 5.335 id 0.411 orth 0.010 gate -0.007) | R@1 0.083 R@5 0.244 R@10 0.343
step  5400 | lr 3.00e-04 | loss 5.501 (nce 5.325 id 0.438 orth 0.010 gate -0.004) | R@1 0.078 R@5 0.232 R@10 0.351
step  5500 | lr 3.00e-04 | loss 5.550 (nce 5.382 id 0.417 orth 0.009 gate -0.005) | R@1 0.083 R@5 0.247 R@10 0.355
step  5600 | lr 3.00e-04 | loss 5.765 (nce 5.604 id 0.400 orth 0.010 gate -0.004) | R@1 0.078 R@5 0.219 R@10 0.341
step  5700 | lr 3.00e-04 | loss 5.486 (nce 5.321 id 0.411 orth 0.009 gate -0.006) | R@1 0.081 R@5 0.244 R@10 0.360
step  5800 | lr 3.00e-04 | loss 5.629 (nce 5.464 id 0.409 orth 0.010 gate -0.005) | R@1 0.081 R@5 0.250 R@10 0.366
step  5900 | lr 3.00e-04 | loss 5.579 (nce 5.414 id 0.410 orth 0.010 gate -0.005) | R@1 0.082 R@5 0.240 R@10 0.353
step  6000 | lr 3.00e-04 | loss 5.645 (nce 5.476 id 0.422 orth 0.010 gate -0.001) | R@1 0.083 R@5 0.243 R@10 0.355
best checkpoint -> /home/disi/dl-project/results/phi_t2_hybrid_tau05_fixed_20260630_163129.pt
frozen -> /home/disi/dl-project/results/solution_a_t2_hybrid_tau05_fixed.md
